"Detector Number","Name","Azimuth (rad)","Elevation (rad)","Rotation (rad)","Distance (cm)","Width (cm)","Height (cm)"
0,"BottomCenter",0.0000000000,-1.5707960000,0.0000000000,44.900000,15.000000,15.000000
0,"BotCenEntry",0.0000000000,-1.1263518824,0.0000000000,44.900000,15.000000,15.000000
0,"BotCenExit",0.0000000000,-2.0152407712,0.0000000000,44.900000,15.000000,15.000000
0,"BotRight0",0.7853981634,-0.9485741046,0.7853981634,44.900000,15.000000,15.000000
0,"BotRight2",2.3561944902,-0.9485741046,0.7853981634,44.900000,15.000000,15.000000
0,"BotLeft0",3.9269908170,-0.9485741046,0.7853981634,44.900000,15.000000,15.000000
0,"BotLeft2",5.4977871438,-0.9485741046,0.7853981634,44.900000,15.000000,15.000000
0,"BotRight1",1.5707963268,-1.1263518824,0.0000000000,44.900000,15.000000,15.000000
0,"BotLeft1",-1.5707963268,-1.1263518824,0.0000000000,44.900000,15.000000,15.000000
1,"A0",0.0000000000,0.5585050000,0.7853981634,44.900000,15.000000,15.000000
2,"A1",0.6283190000,0.5585050000,0.7853981634,44.900000,15.000000,15.000000
3,"A2",1.2566400000,0.5585050000,0.7853981634,44.900000,15.000000,15.000000
4,"A3",1.8849600000,0.5585050000,0.7853981634,44.900000,15.000000,15.000000
5,"A4",2.5132700000,0.5585050000,0.7853981634,44.900000,15.000000,15.000000
6,"A5",3.1415900000,0.5585050000,0.7853981634,44.900000,15.000000,15.000000
7,"A6",-2.5132700000,0.5585050000,0.7853981634,44.900000,15.000000,15.000000
8,"A7",-1.8849600000,0.5585050000,0.7853981634,44.900000,15.000000,15.000000
9,"A8",-1.2566400000,0.5585050000,0.7853981634,44.900000,15.000000,15.000000
10,"A9",-0.6283190000,0.5585050000,0.7853981634,44.900000,15.000000,15.000000
11,"B0",0.3141590000,0.2792530000,0.7853981634,41.900000,15.000000,15.000000
12,"B1",0.9424780000,0.2792530000,0.7853981634,41.900000,15.000000,15.000000
13,"B2",1.5708000000,0.2792530000,0.7853981634,41.900000,15.000000,15.000000
14,"B3",2.1991100000,0.2792530000,0.7853981634,41.900000,15.000000,15.000000
17,"B6",-2.1991100000,0.2792530000,0.7853981634,41.900000,15.000000,15.000000
18,"B7",-1.5708000000,0.2792530000,0.7853981634,41.900000,15.000000,15.000000
19,"B8",-0.9424780000,0.2792530000,0.7853981634,41.900000,15.000000,15.000000
20,"B9",-0.3141590000,0.2792530000,0.7853981634,41.900000,15.000000,15.000000
21,"C1",0.6283190000,0.0000000000,0.7853981634,38.900000,15.000000,15.000000
22,"C2",1.2566400000,0.0000000000,0.7853981634,38.900000,15.000000,15.000000
23,"C3",1.8849600000,0.0000000000,0.7853981634,38.900000,15.000000,15.000000
26,"C7",-1.8849600000,0.0000000000,0.7853981634,38.900000,15.000000,15.000000
27,"C8",-1.2566400000,0.0000000000,0.7853981634,38.900000,15.000000,15.000000
28,"C9",-0.6283190000,0.0000000000,0.7853981634,38.900000,15.000000,15.000000
29,"D0",0.3141590000,-0.2792530000,0.7853981634,41.900000,15.000000,15.000000
30,"D1",0.9424780000,-0.2792530000,0.7853981634,41.900000,15.000000,15.000000
31,"D2",1.5708000000,-0.2792530000,0.7853981634,41.900000,15.000000,15.000000
32,"D3",2.1991100000,-0.2792530000,0.7853981634,41.900000,15.000000,15.000000
35,"D6",-2.1991100000,-0.2792530000,0.7853981634,41.900000,15.000000,15.000000
36,"D7",-1.5708000000,-0.2792530000,0.7853981634,41.900000,15.000000,15.000000
37,"D8",-0.9424780000,-0.2792530000,0.7853981634,41.900000,15.000000,15.000000
38,"D9",-0.3141590000,-0.2792530000,0.7853981634,41.900000,15.000000,15.000000
39,"E0",0.0000000000,-0.5585050000,0.7853981634,44.900000,15.000000,15.000000
40,"E1",0.6283190000,-0.5585050000,0.7853981634,44.900000,15.000000,15.000000
41,"E2",1.2566400000,-0.5585050000,0.7853981634,44.900000,15.000000,15.000000
42,"E3",1.8849600000,-0.5585050000,0.7853981634,44.900000,15.000000,15.000000
43,"E4",2.5132700000,-0.5585050000,0.7853981634,44.900000,15.000000,15.000000
45,"E6",-2.5132700000,-0.5585050000,0.7853981634,44.900000,15.000000,15.000000
46,"E7",-1.8849600000,-0.5585050000,0.7853981634,44.900000,15.000000,15.000000
47,"E8",-1.2566400000,-0.5585050000,0.7853981634,44.900000,15.000000,15.000000
48,"E9",-0.6283190000,-0.5585050000,0.7853981634,44.900000,15.000000,15.000000
